,Bay Property Owners,Biodiversity,Coastal Erosion,Conservation Costs,Food Web Impacts,Marsh Dynamics,Marsh Sediment Management,coastal communities,living shorelines,permitting
Bay Property Owners,0.0,0.5,0.0,0.0,0.8,0.75,0.75,0.6,0.0,0.4
Biodiversity,0.6,0.0,1.0,0.0,0.0,1.0,0.8,0.0,0.6,0.25
Coastal Erosion,0.0,-0.6,0.0,0.0,0.0,-0.5,0.0,-0.6,0.0,0.3333333333333333
Conservation Costs,0.4,0.2,0.6,0.0,0.6,0.0,0.2,0.4,0.6,0.6
Food Web Impacts,0.2,0.0,-0.5,0.0,0.0,-0.5,-0.2,-0.2,0.0,0.6
Marsh Dynamics,0.4,0.6,1.0,0.6,-0.6,0.0,0.0,0.0,0.0,0.6
Marsh Sediment Management,0.8,1.0,1.0,0.0,0.8,0.6,0.0,1.0,0.0,0.0
coastal communities,0.6,1.0,0.0,0.0,0.6,0.25,0.6,0.0,0.6,0.6
living shorelines,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
permitting,0.0,0.0,0.0,0.5,0.0,1.0,0.0,0.0,1.0,0.0
