,Conservation Management,Fisheries Habitat,Fisheries Species,Ocean Health,Oyster Reef Ecology,Shoreline Restoration,Species & Ecosystems,Species Conservation,System Dynamics Overview,System Understanding
Conservation Management,0.0,0.0,-0.8,0.4,0.0,0.0,-0.6666666666666666,-1.0,0.0,-0.6
Fisheries Habitat,-0.25,0.0,1.0,0.0,0.6,0.0,0.6,1.0,0.0,1.0
Fisheries Species,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.8
Ocean Health,0.0,1.0,0.5,0.0,0.4,0.0,0.6666666666666666,0.0,0.0,0.5
Oyster Reef Ecology,-0.5,0.75,0.0,0.5,0.0,0.0,0.0,0.6666666666666666,0.0,0.8
Shoreline Restoration,0.75,0.0,0.0,0.6,0.4,0.0,0.6,0.5,0.0,0.0
Species & Ecosystems,0.0,0.0,0.5,1.0,0.6,0.0,0.0,1.0,0.0,0.0
Species Conservation,0.0,0.0,1.0,0.0,0.8,0.0,0.0,0.0,0.3333333333333333,0.0
System Dynamics Overview,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
System Understanding,0.75,0.75,0.0,0.6666666666666666,0.8,0.5,0.25,0.75,0.5,0.0
