,Ecological Dynamics,Ecological Risk,Ecosystem Functioning,Ecosystem Resilience,Environmental Management,Environmental Regulation,Habitat Restoration,Legal Compliance,Marsh Ecosystems,Plant Diversity,Resource Management,Shoreline Management,Wildlife Conservation
Ecological Dynamics,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0
Ecological Risk,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Ecosystem Functioning,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-1.0,0.0
Ecosystem Resilience,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.75,0.0,1.0,0.0,-1.0,1.0
Environmental Management,1.0,1.0,0.0,0.0,0.0,0.75,0.0,1.0,0.0,0.0,0.0,1.0,0.0
Environmental Regulation,1.0,0.5,0.0,0.0,1.0,0.0,0.8,0.0,0.0,1.0,0.0,0.0,0.0
Habitat Restoration,0.0,1.0,1.0,0.0,0.0,0.75,0.0,0.5,0.0,0.0,0.0,0.0,0.0
Legal Compliance,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
Marsh Ecosystems,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.0,1.0,0.0
Plant Diversity,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.5,0.0,0.0,0.0,1.0,0.0
Resource Management,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,1.0,0.0
Shoreline Management,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,1.0,0.3333333333333333,0.0,0.0,0.0
Wildlife Conservation,0.0,0.0,0.0,0.0,0.0,0.0,0.8,1.0,0.0,0.0,0.0,0.0,0.0
