,Acronyms & Names,Biodiversity Conservation,Biological Networks,Coral Reef Resilience,Ecological Resilience,Ecosystem Management,Fisheries Management,Genetic Regulation,Government Regulations,Management Tools,Marine Pollution,Mental Models,Service Provisioning,Socioeconomic Impact,Stakeholder Perspectives,Support & Distribution
Acronyms & Names,0.0,-0.25,0.0,0.5,0.5,0.0,0.0,0.0,0.5,0.0,0.0,-0.5,0.0,0.0,0.0,0.0
Biodiversity Conservation,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.5,0.0,0.0,0.0,0.0,-0.2,0.0,-0.25,0.0
Biological Networks,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Coral Reef Resilience,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,1.0,0.0,0.0,0.6666666666666666,0.0,0.8,0.0
Ecological Resilience,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0
Ecosystem Management,0.0,-0.5,0.0,0.6666666666666666,0.0,0.0,1.0,0.0,0.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0
Fisheries Management,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5,0.0,0.0,0.0,0.5,0.0
Genetic Regulation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2,0.2,0.25,0.0,0.0
Government Regulations,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0
Management Tools,0.0,0.0,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.75,0.0,0.0
Marine Pollution,0.0,-0.25,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.75
Mental Models,0.0,0.0,0.0,0.0,-0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2,-0.5
Service Provisioning,0.0,-0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Socioeconomic Impact,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,1.0,0.0,-0.5,0.75,0.0,0.0,0.0
Stakeholder Perspectives,0.3333333333333333,0.0,0.0,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Support & Distribution,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
