,Deprivation Effects,Ecological Interactions,Fisheries Management,Fishing Regulations,Geographic Diversity,Management Strategies,Marine Species,Multi-Species Dynamics,Research Techniques,Species Conservation,Trophic Ecology
Deprivation Effects,0.0,0.6,0.0,0.0,0.0,0.4,0.6666666666666666,0.0,0.0,0.0,1.0
Ecological Interactions,0.0,0.0,0.0,0.0,0.5,0.6,0.0,1.0,0.0,1.0,0.0
Fisheries Management,0.75,0.0,0.0,-1.0,0.0,0.5,0.0,0.8,1.0,0.75,1.0
Fishing Regulations,0.0,0.0,0.2,0.0,0.0,0.3333333333333333,0.0,0.6,0.0,0.5,-0.3333333333333333
Geographic Diversity,0.0,0.8,0.2,-0.4,0.0,0.0,0.0,0.6,0.0,0.6,0.75
Management Strategies,0.0,0.4,0.0,0.0,0.0,0.0,0.5,0.5,1.0,0.0,0.75
Marine Species,0.0,0.2,0.6,0.4,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Multi-Species Dynamics,0.0,0.0,0.3333333333333333,0.0,0.2,0.0,0.4,0.0,0.0,0.0,1.0
Research Techniques,0.75,0.6,0.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.75
Species Conservation,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.0,1.0
Trophic Ecology,0.0,0.0,0.0,0.0,0.0,0.25,0.5,0.0,0.0,0.0,0.0
