model,count,mean,median,std,min,max,ci95_low,ci95_high,boot_ci95_low,boot_ci95_high
claude-3-7-sonnet,15,0.29878300551051057,0.2934196332254584,0.18545957767335666,0.0,0.5828065739570165,0.19607891468863176,0.4014870963323894,0.2060071541204871,0.38679735221525346
claude-sonnet-4,15,0.36300652598804456,0.3482905982905983,0.08468760155361182,0.2151675485008818,0.5700110253583242,0.3161080954482733,0.40990495652781583,0.3235491095463003,0.4063004130221663
deepseek-chat,15,0.2840465701097136,0.3561872909698997,0.20040116898440594,0.0,0.5004625346901018,0.17306810181817306,0.3950250384012542,0.18176616856511438,0.37741209900676337
deepseek-reasoner,15,0.2706273457349579,0.3138075313807531,0.14349099290937367,0.0,0.4514767932489452,0.19116468248096388,0.35009000898895193,0.19916456000281926,0.33741722661871065
gemini-1.5-flash,15,0.442836295088516,0.4392523364485981,0.08993673912041242,0.2703045685279188,0.6318289786223278,0.393030989055117,0.492641601121915,0.4008572071514379,0.4878525224417097
gemini-2.0-flash,15,0.3695122935186933,0.358695652173913,0.1203849456622557,0.1673212882953653,0.5670995670995671,0.30284533272867376,0.43617925430871285,0.31028477746748384,0.4279404298919204
gpt-4.1,15,0.3680973019996689,0.3768996960486322,0.06290667671560282,0.2356687898089171,0.4729729729729729,0.3332607455933938,0.402933858405944,0.33735099876524816,0.3982535499212055
gpt-4.1-mini,15,0.2958359828166298,0.3348115299334811,0.15012687617426945,0.0,0.5130142737195634,0.21269848989855883,0.3789734757347008,0.2198665179540492,0.3658302787211436
gpt-4o,15,0.34518565420152,0.3503184713375796,0.10152789468341514,0.1584158415841584,0.5121951219512194,0.28896138017192574,0.4014099282311142,0.29441390116330135,0.39315476981229625
gpt-5,15,0.30960483171323955,0.3325855300056085,0.14775137570885596,0.0571428571428571,0.5443037974683544,0.22778284710489277,0.3914268163215863,0.23638497417186433,0.37925306815582915
