,population genetic diversity,"rare & endangered species (ex. salt marsh birds, sparrows)",(native) habitat-forming species,key food web supporting species,harmful organisms (ex. invasive sp; phragmites),physiological / environmental stressors,"disturbance (ex. storms, fires)",herbicide,burning (phragmites),tidal marsh loss - interior ponding,"drainage - runneling, tidal creek extension",dredge spoil creation marsh,marsh migration corridors (land acquisition for future marshes / habitat),easements,eutrophication,legacy effects of ditching,adaptive potential & stress response,restoration planting,slr
population genetic diversity,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"rare & endangered species (ex. salt marsh birds, sparrows)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
(native) habitat-forming species,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
key food web supporting species,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
harmful organisms (ex. invasive sp; phragmites),0,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
physiological / environmental stressors,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"disturbance (ex. storms, fires)",-1,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
herbicide,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
burning (phragmites),0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tidal marsh loss - interior ponding,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"drainage - runneling, tidal creek extension",0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0
dredge spoil creation marsh,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,1,0
marsh migration corridors (land acquisition for future marshes / habitat),0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
easements,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
eutrophication,0,-1,-1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
legacy effects of ditching,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
adaptive potential & stress response,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
restoration planting,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
slr,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
