,Biodiversity & Adaptation,Climate Resilience,Community Resilience,Data & Collaboration,Ecosystem Health,Management Practices,Marine Ecosystem Health,Societal Values,biodiversity,human well-being
Biodiversity & Adaptation,0.0,0.0,0.0,0.0,1.0,-0.4,1.0,1.0,1.0,0.0
Climate Resilience,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0
Community Resilience,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0
Data & Collaboration,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
Ecosystem Health,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0
Management Practices,-1.0,1.0,-0.6,0.0,-0.6,0.0,-1.0,0.0,0.0,-1.0
Marine Ecosystem Health,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
Societal Values,1.0,0.0,1.0,1.0,1.0,0.2,1.0,0.0,0.0,1.0
biodiversity,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
human well-being,1.0,0.8,0.8,0.75,0.0,-0.6,0.0,0.8,0.0,0.0
