,Agency Management,Biodiversity Budget,Biodiversity Monitoring,Conservation Management,Environmental Impact,Management Oversight,Offshore Wind Impacts,Resource Industries,Stakeholder Management,Sustainable Energy,Travel Grants,User Stressors,policy decisions
Agency Management,0.0,-0.5,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0
Biodiversity Budget,0.0,0.0,-1.0,-1.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0
Biodiversity Monitoring,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
Conservation Management,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Environmental Impact,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.8,-0.2,1.0
Management Oversight,0.0,-0.6,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0
Offshore Wind Impacts,0.6,0.0,0.0,0.0,0.0,0.6,0.0,0.6,0.6,0.6,0.0,0.0,0.0
Resource Industries,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.5,0.0,0.0
Stakeholder Management,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Sustainable Energy,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.8,0.0,0.0
Travel Grants,0.0,0.0,0.0,1.0,0.6666666666666666,0.8,0.6666666666666666,0.0,0.0,0.8,0.0,0.0,0.0
User Stressors,0.0,0.0,0.0,0.0,-0.2,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0
policy decisions,1.0,-1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
