,Commercial Fish Species,Fisheries Management,Fishing Management,Genetic Stock Management,Habitat Protection,Management Strategy,Marine Ecosystem Management,Population Dynamics,Species Conservation,Squid Fishery,Whale & Turtle Conservation
Commercial Fish Species,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0
Fisheries Management,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Fishing Management,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Genetic Stock Management,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Habitat Protection,0.0,0.0,0.0,0.0,0.0,1.0,0.5,1.0,0.0,0.0,1.0
Management Strategy,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
Marine Ecosystem Management,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,1.0,0.0
Population Dynamics,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Species Conservation,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0
Squid Fishery,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
Whale & Turtle Conservation,0.0,0.0,-0.6,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0
