,Biocultural Focus,Colonial Erasure,Colonization Impacts,Federal Governance,Fishing Sectors,Hawaiian Community Culture,Indigenous Knowledge,Legal Framework,Marine Resource Management,Policy & Power,Positive Relationships,Research Focus,[Fishing Types],ocean plastics
Biocultural Focus,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Colonial Erasure,0.0,0.0,0.0,0.5,0.0,0.0,-1.0,-0.25,0.0,0.0,0.0,0.0,-1.0,0.0
Colonization Impacts,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Federal Governance,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
Fishing Sectors,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0
Hawaiian Community Culture,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.0,0.0,1.0,-1.0
Indigenous Knowledge,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Legal Framework,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Marine Resource Management,1.0,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0
Policy & Power,0.0,0.0,0.0,0.0,-0.3333333333333333,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Positive Relationships,0.0,1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5,0.0,0.0,-1.0,0.0
Research Focus,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0
[Fishing Types],1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0
ocean plastics,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,-0.6,0.0,0.0,0.0,0.0,0.0
