,Boat Cruises,Boating Harassment,Cognitive Understanding,Environmental Concerns,Estuary Ecosystem,Fisheries Management,Fishing & Marine Life,Marine Biodiversity,Regulations & Rules,Social Interactions,Southern Science Reviews,dolphin cruise guide
Boat Cruises,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Boating Harassment,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cognitive Understanding,0.0,-0.3333333333333333,0.0,0.0,1.0,-0.5,-1.0,1.0,0.0,1.0,0.0,0.0
Environmental Concerns,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Estuary Ecosystem,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0
Fisheries Management,0.0,0.0,0.5,0.0,0.6666666666666666,0.0,0.0,1.0,0.8,0.0,0.0,0.0
Fishing & Marine Life,0.0,0.0,-1.0,-0.8,-1.0,0.0,0.0,-1.0,0.0,0.0,0.0,-0.6666666666666666
Marine Biodiversity,1.0,0.0,0.0,1.0,1.0,0.6666666666666666,-1.0,0.0,0.0,0.0,0.0,0.0
Regulations & Rules,0.0,0.0,1.0,0.0,0.0,1.0,0.2,0.0,0.0,0.0,0.0,0.0
Social Interactions,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Southern Science Reviews,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dolphin cruise guide,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
