,Biodiversity Understanding,Community Engagement,DEI in Agencies,Ecological Systems,Ecotourism & Wellbeing,Environmental Understanding,Geographic Awareness,Puget Sound Management,Research Scientists,Social Science Research,Social-Ecological Dynamics,species recovery
Biodiversity Understanding,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0
Community Engagement,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DEI in Agencies,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ecological Systems,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Ecotourism & Wellbeing,0.0,0.5,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
Environmental Understanding,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Geographic Awareness,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Puget Sound Management,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.8,0.0,1.0,0.0
Research Scientists,0.6,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Social Science Research,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
Social-Ecological Dynamics,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
species recovery,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.4,0.0,0.2,0.0,1.0,0.0
