,Biodiversity Conservation,Impact Management,Marine Quality Management,Oyster Cultivation,Project Planning Dynamics,Sea Level Adaptation,Shorebird Nesting Zones,Shoreline Conservation,Waterfront Communities,living shorelines act,shoreline archetypes
Biodiversity Conservation,0.0,0.0,0.0,0.8,0.0,0.6666666666666666,0.75,0.0,0.0,0.0,0.6
Impact Management,0.0,0.0,-0.4,0.0,0.0,-0.8,0.0,0.0,0.0,-0.5,-0.2
Marine Quality Management,0.0,0.25,0.0,0.5,0.75,0.75,0.8,0.0,0.0,0.0,0.0
Oyster Cultivation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.0,0.5,0.0
Project Planning Dynamics,0.0,0.0,0.0,0.0,0.0,0.5,0.5,1.0,0.4,0.0,0.0
Sea Level Adaptation,0.0,0.4,1.0,0.0,0.0,0.0,0.0,0.6,0.6666666666666666,0.0,0.0
Shorebird Nesting Zones,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Shoreline Conservation,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6
Waterfront Communities,-0.25,0.25,1.0,0.0,0.75,0.5,0.0,0.0,0.0,0.0,0.6
living shorelines act,0.5,-0.75,1.0,0.0,0.0,0.0,0.75,0.0,1.0,0.0,0.0
shoreline archetypes,0.0,-0.2,0.8,0.8,0.8,0.0,0.75,0.0,0.6666666666666666,0.6666666666666666,0.0
