,Aquatic Species Management,Ecosystem Services,Education & Population,Fish Species,Fisheries Sustainability,Habitat Management,Marine Ecosystem Health,Marine Ecosystems,Potomac Waters,Resource Management,Scientific Models,Species Conservation,Water Conservation
Aquatic Species Management,0.0,0.0,1.0,0.4,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
Ecosystem Services,0.0,0.0,0.0,0.0,0.0,0.8,-1.0,0.0,0.75,0.0,0.0,1.0,0.8
Education & Population,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.6666666666666666,0.0,0.0
Fish Species,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.3333333333333333,-0.5,0.2,1.0
Fisheries Sustainability,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Habitat Management,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,-0.5,1.0
Marine Ecosystem Health,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,-0.3333333333333333,0.0,0.0,0.0,0.6666666666666666,0.0
Marine Ecosystems,0.6666666666666666,0.0,0.0,-0.5,0.0,1.0,0.2,0.0,1.0,0.5,0.0,1.0,0.0
Potomac Waters,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75
Resource Management,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,1.0,-1.0,0.0
Scientific Models,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Species Conservation,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5
Water Conservation,0.5,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.75,0.5,1.0,0.0,0.0
