,Biodiversity Conservation,Chesapeake Programs,Economic Ecology,Ecosystem Dynamics,Estuarine Habitats,Habitat and Ecology,Management Strategies,Marine Resource Management,Oyster Restoration,Scientific Collaboration,System Components,Water Quality Management,Watershed Regions
Biodiversity Conservation,0.0,0.6,0.0,0.0,1.0,0.0,0.6666666666666666,0.0,1.0,0.75,0.0,0.0,0.5
Chesapeake Programs,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.0
Economic Ecology,0.75,0.0,0.0,0.0,0.6666666666666666,0.0,0.0,1.0,0.0,1.0,0.5,0.6,0.0
Ecosystem Dynamics,0.0,0.0,0.0,0.0,0.5,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Estuarine Habitats,0.0,0.75,0.0,0.0,0.0,1.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0
Habitat and Ecology,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.75,0.0,0.75,0.75
Management Strategies,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0
Marine Resource Management,0.0,0.6666666666666666,0.0,1.0,0.3333333333333333,0.0,0.4,0.0,0.0,0.0,0.8,0.0,0.0
Oyster Restoration,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.75,0.5,0.0,0.0
Scientific Collaboration,0.0,0.0,0.0,0.0,0.0,0.75,0.0,0.0,1.0,0.0,0.0,0.0,0.6666666666666666
System Components,0.0,0.75,0.75,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.6666666666666666
Water Quality Management,0.0,0.75,0.0,0.0,0.0,0.0,0.75,0.75,0.0,0.0,0.0,0.0,0.0
Watershed Regions,0.6666666666666666,0.8,0.0,1.0,0.0,0.75,0.75,0.0,0.0,0.0,0.0,0.0,0.0
