,Ecosystem Dynamics,Fisheries Regulation,Fishing Sector,Hatchery Operations,Management Collaboration,Marine Conservation,Marine Mammals,North American Fisheries,Ocean Conditions,Qualitative Resilience,Salmon Ecology,Stream Ecology,Wild Fish
Ecosystem Dynamics,0.0,1.0,0.0,0.0,0.0,0.5,0.0,0.0,-1.0,0.0,0.0,0.6,0.0
Fisheries Regulation,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,-0.75,0.0,0.6,0.0,0.0
Fishing Sector,-0.25,0.4,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.2,0.75,0.0,-1.0
Hatchery Operations,0.2,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0
Management Collaboration,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.6
Marine Conservation,0.6,0.0,-1.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0
Marine Mammals,-1.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,-0.75,0.0,0.0,-0.2
North American Fisheries,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.4,0.0,0.0,0.0,-0.2,0.2,-1.0
Ocean Conditions,-0.5,0.0,0.0,0.0,-1.0,0.0,0.0,-0.5,0.0,0.0,0.0,0.0,0.2
Qualitative Resilience,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0
Salmon Ecology,0.0,0.0,0.0,0.0,0.0,0.0,-0.2,0.0,0.0,0.0,0.0,0.0,0.0
Stream Ecology,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Wild Fish,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.5,0.0
