,Academic Research,Cancer Pharmaceuticals,Climate Impact Ecology,Cultural Religions,Diverse Perspectives,Habitat Restoration,Legal Governance,Marine Fish Habitats,U.S. Regions,Wetland Ecosystems,Wildlife Conservation
Academic Research,0.0,0.0,0.0,0.6,-0.3333333333333333,0.0,0.6666666666666666,0.4,0.6,0.0,0.0
Cancer Pharmaceuticals,0.0,0.0,0.0,1.0,0.0,0.0,0.6666666666666666,0.0,0.0,-0.6,0.4
Climate Impact Ecology,0.0,0.0,0.0,-0.4,0.0,0.25,-0.2,0.0,0.0,-0.2,0.0
Cultural Religions,0.0,1.0,-0.3333333333333333,0.0,0.0,0.4,0.0,0.6,0.5,0.3333333333333333,0.0
Diverse Perspectives,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.6
Habitat Restoration,0.0,0.0,0.8,0.0,0.0,0.0,0.6,0.0,0.8,0.0,0.0
Legal Governance,0.0,-1.0,0.0,0.6,0.4,0.0,0.0,0.0,0.6,0.0,0.0
Marine Fish Habitats,0.0,-0.4,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0
U.S. Regions,0.0,-0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0
Wetland Ecosystems,0.6,0.0,0.0,0.6,0.0,0.6,0.0,0.0,0.0,0.0,0.4
Wildlife Conservation,0.2,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.5,0.8,0.0
