,climate change,diverse native species,increasing water temp,adaptability to changes,salinity,water quality,changes in precipitation / more frequent rain events,coastal protection benefits,green infrastructure / restoration,erosion,habitat,public access,recreational benefits,equity,carbon storage,key food web supporting species,sp of conservation concern,harmful organisms - invasive sp (phragmites),local vulnerability and conservation assessments,adaptive management,marsh migration,development
climate change,0,-1,0,0,1,-1,1,-1,0,1,-1,-1,0,0,0,0,0,0,0,0,0,0
diverse native species,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
increasing water temp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
adaptability to changes,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0
salinity,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
water quality,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0
changes in precipitation / more frequent rain events,0,0,0,0,0,1,0,0,0,1,0,-1,0,0,0,0,0,0,0,0,0,-1
coastal protection benefits,0,0,0,0,0,0,0,0,0,-1,1,0,0,0,0,0,0,0,0,0,0,0
green infrastructure / restoration,0,0,0,1,0,1,0,1,0,-1,0,0,0,0,0,0,0,0,0,0,0,0
erosion,0,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,0,-1,0,0,0,0,0
habitat,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0
public access,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0
recreational benefits,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0
equity,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
carbon storage,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
key food web supporting species,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
sp of conservation concern,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
harmful organisms - invasive sp (phragmites),0,-1,0,0,0,0,0,1,0,0,-1,0,0,0,0,0,0,0,0,0,0,0
local vulnerability and conservation assessments,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
adaptive management,0,0,-1,1,0,1,0,1,0,0,1,1,1,1,1,0,1,0,0,0,0,0
marsh migration,0,0,0,0,0,0,0,1,0,0,0,0,0,0,-1,0,0,0,0,0,0,0
development,0,0,1,0,0,-1,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0
