,key food web supporting species,species of conservation concern,harmful organisms (invasives),habitat forming species,healthy ecosystem,ecosystem restoration,species diversity / native organism abundance,top predators,broad ecosystem protection,invasive species removal,importation bans on nonnatives,no-take areas,nutrient influx,sedimentation,wetland filling,better baseline biodiversity data (natural inventory),upstream management,pollutant spills/contaminants
key food web supporting species,0,1,-1,1,1,1,1,1,1,0,0,0,-1,0,0,0,0,0
species of conservation concern,1,0,-1,1,1,1,1,1,0,-1,-1,0,0,0,0,0,0,0
harmful organisms (invasives),-1,1,0,-1,-1,-1,-1,-1,-1,0,0,-1,0,0,0,0,-1,0
habitat forming species,1,1,-1,0,1,-1,1,1,0,-1,0,0,-1,0,0,0,0,0
healthy ecosystem,1,1,-1,1,0,-1,1,1,0,-1,0,0,-1,0,0,0,-1,-1
ecosystem restoration,1,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0
species diversity / native organism abundance,1,1,-1,1,1,0,0,1,1,-1,-1,0,-1,0,0,0,0,-1
top predators,1,0,-1,1,1,1,1,0,0,-1,0,0,0,0,0,0,0,0
broad ecosystem protection,1,1,-1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0
invasive species removal,1,1,-1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0
importation bans on nonnatives,1,1,-1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0
no-take areas,1,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0
nutrient influx,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sedimentation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
wetland filling,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
better baseline biodiversity data (natural inventory),1,1,-1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0
upstream management,1,1,-1,1,1,0,1,1,0,0,0,0,-1,-1,-1,0,0,-1
pollutant spills/contaminants,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
