target,Algae,Ciguatera,Coastal Development,Commercial Fishers,Coral Reefs,Dredging,Fish Market,Fisheries Resources,Hurricanes,Invasive Species,Law Enforcement,Local Economy,Management,Mangroves,Marine Diseases,Nursery Habitats,Ocean Acidification,Pollution,Recreational Boating,Recruitment,Restaurants,Run Off,Sargassum,Seagrass,Spawning Aggregations,Tourism,Water Quality,Water Temperature
Algae,0,0,0,0,0,0,0,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Coastal Development,0,0,0,0,0,0,0,0,-1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Commercial Fishers,0,-1,0,0,0,0,1,1,-1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Coral Reefs,-1,0,-1,0,0,0,0,0,-1,-1,0,0,1,0,-1,1,-1,0,-1,0,0,-1,0,0,0,0,1,-1
Fish Market,0,-1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fisheries Resources,0,1,0,-1,1,0,0,0,0,0,0,0,1,0,-1,-1,-1,-1,0,1,0,0,0,0,1,0,0,0
Gear,0,0,0,0,0,0,0,0,-1,0,0,0,1,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0
Hurricanes,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Invasive Species,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Law Enforcement,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Local Cultural and Religious Traditions,0,-1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0
Local Economy,0,-1,0,1,0,0,0,0,-1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0
Management,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mangroves,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Marine Habitat,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Nursery Habitats,0,0,-1,0,1,0,0,0,-1,0,0,0,0,1,0,0,0,0,0,0,0,0,-1,1,0,0,0,0
Pollution,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Public Health,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0
Recreational Boating,0,0,1,0,0,1,0,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0
Recruitment,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
Restaurants,0,-1,1,1,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,1,0,0
Run Off,0,0,1,0,0,1,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sargassum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Seagrass,0,0,0,0,0,0,0,0,-1,-1,0,0,0,0,-1,0,0,0,0,0,0,-1,0,0,0,0,0,0
Spawning Aggregations,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tourism,0,-1,1,0,0,1,0,1,-1,0,0,0,0,0,0,0,0,-1,0,0,0,-1,-1,0,0,0,1,0
Water Quality,0,0,-1,0,0,-1,0,0,0,0,0,0,1,1,0,0,0,-1,0,0,0,-1,0,1,0,0,0,0
Water Temperature,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
