target,Anchoring,Coastal Development,Commercial Fishers,Commercial Fishing,Coral Bleaching,Coral Reefs,Crabs,Demand,Detrimental Practices from BVI,Disturbances,Education/Outreach,Environmental Protection,Erosion,Fisher Cooperation,Funding,Gear,Government Agencies,Human Population,IUU Fishing,Industrial Pollution,Infrastructure,Invasive Species,Invasive Species Management/NGOs,Law Enforcement,Local Economy,MPAs,Mangroves,Marine Diseases,Marine Spatial Planning,Moorings,Overfishing,Recreational Activities,Recreational Boating,Reef Fish,Regionalism,Restoration,Run Off,Run Off of Landfills,Sargassum,Seagrass,Sewage,Tourism,Uninformed Public,Water Quality,Water Temperature,Water-Related Businesses,Weather
Anchoring,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Coastal Development,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Commercial Fishing,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Coral Bleaching,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
Coral Reefs,-1,0,-1,-1,-1,0,1,0,0,-1,-1,1,-1,0,0,-1,0,-1,-1,-1,-1,0,0,0,0,1,0,-1,1,-1,-1,-1,0,1,0,1,-1,0,0,0,-1,1,-1,1,-1,0,-1
Crabs,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Demand,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Disturbances,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
Education/Outreach,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-1,0,0,0,0,0
Environmental Protection,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
