target,African Dust,Agricultural Contamination,Anchoring,Ciguatera,Climate Change,Coastal Development,Coral Bleaching,Coral Reefs,Covid-19,Demand,Disturbances,Education/Outreach,Fish Market,Gentrification,Global Fishing,Government Agencies,Hurricanes,IUU Fishing,Invasive Species,Law Enforcement,Legislation,Local Cultural and Religious Traditions,Local Economy,Mangroves,Marine Debris,Marine Diseases,Marine Habitat,Moorings,Non Point Pollution,Non-Extractive Human Use of the Ocean,Nursery Habitats,Nutrients,Ocean Acidification,Oceanographic Variables,Overfishing,Point Pollution,Pump Out Stations,Recreational Fishing,Run Off,Run Off of Landfills,Sargassum,Seagrass,Tourism,Use of Technology for Education,Waste Management,Water Quality
Anchoring,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ballast Water,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Climate Change,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Commercial Fishing,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Coral Reefs,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,-1,0,0,0,-1,0,0,-1,-1,-1,0,0,0,-1,0,-1,0,-1,0,0,1
Disturbances,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Education/Outreach,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Endangered Species,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,-1,0,0,0
Fish Market,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Gentrification,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
