,Community Challenges,Environmental Impacts,Fisher Unity,Fishery Management Issues,Government Regulations,Reef Communities,Vieques Conch Livelihood,algae presence,lobster,puerto rican fisheries
Community Challenges,0.0,0.0,0.5,1.0,1.0,0.0,-0.2,0.0,-0.6,-1.0
Environmental Impacts,1.0,0.0,0.8,0.0,0.0,-1.0,-0.8,1.0,-0.8,0.0
Fisher Unity,-1.0,-0.25,0.0,0.4,-0.5,0.0,0.0,0.0,0.0,0.0
Fishery Management Issues,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-1.0,0.0
Government Regulations,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,-0.4,-0.2
Reef Communities,0.8,0.0,-0.4,0.8,0.0,0.0,1.0,0.0,1.0,1.0
Vieques Conch Livelihood,1.0,0.0,-0.25,1.0,0.6666666666666666,1.0,0.0,0.0,0.8,1.0
algae presence,0.0,1.0,0.0,0.5,0.25,-0.8,-0.75,0.0,-0.8,0.0
lobster,1.0,0.0,0.5,1.0,0.0,1.0,1.0,0.3333333333333333,0.0,1.0
puerto rican fisheries,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.8,1.0,0.0
