,Coastal Ecosystems,Coastal Livelihoods,Community Collaboration,Fish and Market,Fisheries Management,Fishing and Tourism,Government and Politics,Puerto Rico Locations,Resource Management Conflicts,Weather Patterns
Coastal Ecosystems,0.0,0.0,0.0,0.0,0.0,-1.0,-0.6,-1.0,-0.3333333333333333,0.0
Coastal Livelihoods,0.0,0.0,0.0,0.0,-0.4,-1.0,0.0,-0.5,0.0,0.0
Community Collaboration,-1.0,-1.0,0.0,0.0,0.0,0.0,-0.8,-0.6,-0.5,-0.8
Fish and Market,0.0,-0.6,-1.0,0.0,0.4,-1.0,0.0,0.0,0.0,-0.4
Fisheries Management,-0.8,1.0,-0.6,0.0,0.0,-1.0,-0.6,-0.6,-0.5,0.0
Fishing and Tourism,-0.8,-0.8,-0.8,-0.8,-0.75,0.0,-0.75,0.0,-0.8,0.0
Government and Politics,0.0,-0.6666666666666666,-0.75,-0.25,0.0,-1.0,0.0,-0.8,-1.0,-0.8
Puerto Rico Locations,0.0,0.0,0.0,-0.6,0.0,0.0,0.0,0.0,0.0,0.0
Resource Management Conflicts,0.0,0.0,-0.8,-0.6,0.0,-1.0,0.0,-0.4,0.0,-1.0
Weather Patterns,0.0,-0.6,-1.0,-0.6,0.0,-1.0,0.0,-0.6,0.0,0.0
