,**Climate Resilience**,**Education Programs**,**Fair Resource Allocation**,**Fisheries Management**,**Government Oversight & Funding**,Coastal & Coral Threats,Collaborative Leadership,Community & Conservation,Community Dynamics,Decision Making & Governance,Fisher Involvement,Identity & Dependence,Livelihoods & Stakeholders,Marine Resource Use,Policy Enforcement,Regulatory Compliance,Trust & Governance
**Climate Resilience**,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.5
**Education Programs**,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
**Fair Resource Allocation**,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,1.0,0.0
**Fisheries Management**,0.0,1.0,0.0,0.0,0.75,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
**Government Oversight & Funding**,0.0,-0.2,0.0,-0.6,0.0,0.0,0.0,0.0,0.0,-0.3333333333333333,-1.0,0.0,0.0,-1.0,0.0,0.0,0.0
Coastal & Coral Threats,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.6,0.0,0.0
Collaborative Leadership,0.0,0.0,0.0,0.0,0.5,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Community & Conservation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.3333333333333333,0.0
Community Dynamics,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
Decision Making & Governance,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0
Fisher Involvement,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Identity & Dependence,0.0,-1.0,0.0,0.0,0.0,-0.5,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0
Livelihoods & Stakeholders,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Marine Resource Use,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.6,0.0,0.0,-0.2,0.0,0.3333333333333333,0.0,0.0
Policy Enforcement,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-0.5,0.0,0.0,0.0,0.0,0.0
Regulatory Compliance,0.0,1.0,0.0,0.0,0.0,-0.5,0.0,0.0,0.0,0.0,0.0,-0.2,1.0,0.0,1.0,0.0,0.0
Trust & Governance,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
