dataset,best_model,best_F1
pr-academics,gpt-4.1,0.1878425510712506
pr-businesses,gemini-2.0-flash,0.2207792207792208
pr-fishers,gpt-5,0.0832781091230395
pr-managers,gpt-4o,0.1730474732006126
pr-ngos,gpt-4.1-mini,0.2006437768240343
usvi-academics,gpt-4o,0.2821088053841839
usvi-businesses,gemini-1.5-flash,0.2065868263473054
usvi-dap,gpt-4.1-mini,0.1297322253000923
usvi-fishers,gemini-1.5-flash,0.3207855973813421
usvi-managers,gemini-1.5-flash,0.273356401384083
usvi-ngos,gemini-1.5-flash,0.2685714285714285
