model,dataset,F1,TP,PP,FP,FN,threshold,tp_scale,pp_scale,gt_nodes,gt_edges,gen_nodes,gen_edges
gemini-1.5-flash,pr-academics,0.2446856625961103,21.0,11.0,35.0,132.0,0.6,1.0,1.1,56.0,164.0,27.0,67.0
gemini-1.5-flash,pr-businesses,0.1211146838156484,4.0,3.0,8.0,74.0,0.6,1.0,1.1,36.0,81.0,5.0,15.0
gemini-1.5-flash,pr-fishers,0.1532976827094474,19.0,28.0,19.0,361.0,0.6,1.0,1.1,129.0,408.0,28.0,66.0
gemini-1.5-flash,pr-managers,0.1461318051575931,10.0,5.0,72.0,77.0,0.6,1.0,1.1,41.0,92.0,35.0,87.0
gemini-1.5-flash,pr-ngos,0.2425167990226023,16.0,7.0,33.0,91.0,0.6,1.0,1.1,43.0,114.0,19.0,56.0
gemini-1.5-flash,usvi-academics,0.317004239284032,21.0,23.0,77.0,68.0,0.6,1.0,1.1,32.0,112.0,70.0,121.0
gemini-1.5-flash,usvi-businesses,0.2112091333679294,11.0,17.0,23.0,129.0,0.6,1.0,1.1,52.0,157.0,15.0,51.0
gemini-1.5-flash,usvi-dap,0.1936251189343482,22.0,34.0,47.0,292.0,0.6,1.0,1.1,86.0,348.0,64.0,103.0
gemini-1.5-flash,usvi-fishers,0.3411420204978038,9.0,26.0,41.0,49.0,0.6,1.0,1.1,48.0,84.0,29.0,76.0
gemini-1.5-flash,usvi-managers,0.1675025075225677,9.0,14.0,149.0,17.0,0.6,1.0,1.1,24.0,40.0,140.0,172.0
gemini-1.5-flash,usvi-ngos,0.3882978723404255,20.0,30.0,43.0,72.0,0.6,1.0,1.1,53.0,122.0,49.0,93.0
gemini-2.0-flash,pr-academics,0.2964455844631734,30.0,19.0,77.0,115.0,0.6,1.0,1.1,56.0,164.0,118.0,126.0
gemini-2.0-flash,pr-businesses,0.2592592592592592,11.0,8.0,26.0,62.0,0.6,1.0,1.1,36.0,81.0,22.0,45.0
gemini-2.0-flash,pr-fishers,0.1613857203210815,25.0,24.0,38.0,359.0,0.6,1.0,1.1,129.0,408.0,86.0,87.0
gemini-2.0-flash,pr-managers,0.2533718689788054,23.0,6.0,92.0,63.0,0.6,1.0,1.1,41.0,92.0,118.0,121.0
gemini-2.0-flash,pr-ngos,0.3430656934306569,23.0,18.0,53.0,73.0,0.6,1.0,1.1,43.0,114.0,58.0,94.0
gemini-2.0-flash,usvi-academics,0.2792792792792792,18.0,18.0,68.0,76.0,0.6,1.0,1.1,32.0,112.0,165.0,104.0
gemini-2.0-flash,usvi-businesses,0.3404551788202508,24.0,23.0,32.0,110.0,0.6,1.0,1.1,52.0,157.0,63.0,79.0
gemini-2.0-flash,usvi-dap,0.2011834319526627,21.0,36.0,33.0,291.0,0.6,1.0,1.1,86.0,348.0,116.0,90.0
gemini-2.0-flash,usvi-fishers,0.3419267299864315,12.0,24.0,49.0,48.0,0.6,1.0,1.1,48.0,84.0,77.0,85.0
gemini-2.0-flash,usvi-managers,0.3461203138622493,16.0,7.0,58.0,17.0,0.6,1.0,1.1,24.0,40.0,145.0,81.0
gemini-2.0-flash,usvi-ngos,0.2703862660944206,12.0,24.0,50.0,86.0,0.6,1.0,1.1,53.0,122.0,128.0,86.0
gpt-4.1,pr-academics,0.3363844393592677,32.0,22.0,64.0,110.0,0.6,1.0,1.1,56.0,164.0,128.0,118.0
gpt-4.1,pr-businesses,0.2487939352170916,12.0,11.0,51.0,58.0,0.6,1.0,1.1,36.0,81.0,46.0,74.0
gpt-4.1,pr-fishers,0.2315369261477046,36.0,40.0,53.0,332.0,0.6,1.0,1.1,129.0,408.0,153.0,129.0
gpt-4.1,pr-managers,0.1038696537678207,12.0,6.0,190.0,74.0,0.6,1.0,1.1,41.0,92.0,319.0,208.0
gpt-4.1,pr-ngos,0.3164455166867712,30.0,17.0,103.0,67.0,0.6,1.0,1.1,43.0,114.0,169.0,150.0
gpt-4.1,usvi-academics,0.186897880539499,16.0,15.0,130.0,81.0,0.6,1.0,1.1,32.0,112.0,262.0,161.0
gpt-4.1,usvi-businesses,0.3485051316376617,22.0,31.0,42.0,104.0,0.6,1.0,1.1,52.0,157.0,107.0,95.0
gpt-4.1,usvi-dap,0.2010711894666368,28.0,31.0,69.0,289.0,0.6,1.0,1.1,86.0,348.0,195.0,128.0
gpt-4.1,usvi-fishers,0.1356712716967764,12.0,13.0,185.0,59.0,0.6,1.0,1.1,48.0,84.0,304.0,210.0
gpt-4.1,usvi-managers,0.1500474833808167,7.0,16.0,162.0,17.0,0.6,1.0,1.1,24.0,40.0,338.0,185.0
gpt-4.1,usvi-ngos,0.323189926547744,22.0,16.0,45.0,84.0,0.6,1.0,1.1,53.0,122.0,132.0,83.0
gpt-4.1-mini,pr-academics,0.358830146231721,33.0,27.0,67.0,104.0,0.6,1.0,1.1,56.0,164.0,149.0,127.0
gpt-4.1-mini,pr-businesses,0.3106180665610142,13.0,12.0,31.0,56.0,0.6,1.0,1.1,36.0,81.0,27.0,56.0
gpt-4.1-mini,pr-fishers,0.2699238342931451,49.0,43.0,77.0,316.0,0.6,1.0,1.1,129.0,408.0,205.0,169.0
gpt-4.1-mini,pr-managers,0.2344497607655502,22.0,9.0,115.0,61.0,0.6,1.0,1.1,41.0,92.0,168.0,146.0
gpt-4.1-mini,pr-ngos,0.324609539890249,28.0,19.0,93.0,67.0,0.6,1.0,1.1,43.0,114.0,130.0,140.0
gpt-4.1-mini,usvi-academics,0.2665615141955836,25.0,16.0,115.0,71.0,0.6,1.0,1.1,32.0,112.0,241.0,156.0
gpt-4.1-mini,usvi-businesses,0.3383996423781851,23.0,27.0,41.0,107.0,0.6,1.0,1.1,52.0,157.0,85.0,91.0
gpt-4.1-mini,usvi-dap,0.2331698617922425,27.0,46.0,69.0,275.0,0.6,1.0,1.1,86.0,348.0,229.0,142.0
gpt-4.1-mini,usvi-fishers,0.2021496486151302,14.0,19.0,142.0,51.0,0.6,1.0,1.1,48.0,84.0,201.0,175.0
gpt-4.1-mini,usvi-managers,0.1439362148552244,10.0,13.0,187.0,17.0,0.6,1.0,1.1,24.0,40.0,380.0,210.0
gpt-4.1-mini,usvi-ngos,0.3205778992581022,24.0,31.0,107.0,67.0,0.6,1.0,1.1,53.0,122.0,248.0,162.0
gpt-4o,pr-academics,0.3445692883895131,35.0,20.0,66.0,109.0,0.6,1.0,1.1,56.0,164.0,125.0,121.0
gpt-4o,pr-businesses,0.3370165745856354,12.0,17.0,32.0,52.0,0.6,1.0,1.1,36.0,81.0,37.0,61.0
gpt-4o,pr-fishers,0.1385767790262172,19.0,26.0,51.0,363.0,0.6,1.0,1.1,129.0,408.0,115.0,96.0
gpt-4o,pr-managers,0.2565535023635582,26.0,7.0,114.0,59.0,0.6,1.0,1.1,41.0,92.0,158.0,147.0
gpt-4o,pr-ngos,0.337782340862423,23.0,18.0,56.0,73.0,0.6,1.0,1.1,43.0,114.0,93.0,97.0
gpt-4o,usvi-academics,0.2906815020862309,22.0,17.0,80.0,73.0,0.6,1.0,1.1,32.0,112.0,176.0,119.0
gpt-4o,usvi-businesses,0.2768878718535469,22.0,15.0,38.0,120.0,0.6,1.0,1.1,52.0,157.0,69.0,75.0
gpt-4o,usvi-dap,0.2377575891867937,30.0,43.0,69.0,275.0,0.6,1.0,1.1,86.0,348.0,221.0,142.0
gpt-4o,usvi-fishers,0.295774647887324,19.0,17.0,87.0,48.0,0.6,1.0,1.1,48.0,84.0,111.0,123.0
gpt-4o,usvi-managers,0.2102272727272727,13.0,10.0,122.0,17.0,0.6,1.0,1.1,24.0,40.0,247.0,145.0
gpt-4o,usvi-ngos,0.2939858050056033,19.0,37.0,123.0,66.0,0.6,1.0,1.1,53.0,122.0,235.0,179.0
gpt-5,pr-academics,0.2622442653440793,28.0,26.0,128.0,110.0,0.6,1.0,1.1,56.0,164.0,197.0,182.0
gpt-5,pr-businesses,0.2020665901262916,11.0,12.0,81.0,58.0,0.6,1.0,1.1,36.0,81.0,61.0,104.0
