,Data Access,Data Security,Expert Decisions,Iterative Graph,Prior Beliefs,Reverse Engineering,System Analysis,System Components,System Interface,System Navigation
Data Access,0.0,0.0,0.8,0.0,1.0,0.0,1.0,1.0,0.0,0.0
Data Security,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75
Expert Decisions,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.6
Iterative Graph,0.0,0.0,0.0,0.0,1.0,1.0,0.8,0.0,0.75,0.8
Prior Beliefs,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0
Reverse Engineering,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.8,1.0
System Analysis,1.0,0.8,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
System Components,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0
System Interface,1.0,0.0,0.0,0.0,0.0,1.0,0.8,1.0,0.0,0.2
System Navigation,0.0,0.2,0.2,0.4,0.6,0.3333333333333333,0.25,0.2,0.2,0.0
