model,dataset,F1,TP,PP,FP,FN,threshold,tp_scale,pp_scale,gt_nodes,gt_edges,gen_nodes,gen_edges
gemini-1.5-flash,P1_Day1_FCM_closed_caption,0.327485380116959,18.0,8.0,23.0,69.0,0.6,1.0,1.1,51.0,95.0,9.0,49.0
gemini-1.5-flash,P2_Day1_FCM_closed_caption,0.5419847328244275,24.0,8.0,19.0,29.0,0.6,1.0,1.1,42.0,61.0,10.0,51.0
gemini-1.5-flash,P3_Day1_FCM_closed_caption,0.4361702127659574,15.0,10.0,22.0,31.0,0.6,1.0,1.1,45.0,56.0,10.0,47.0
gemini-1.5-flash,P4_Day1_FCM_closed_caption,0.3493819128171763,23.0,7.0,37.0,63.0,0.6,1.0,1.1,55.0,93.0,26.0,67.0
gemini-1.5-flash,P5_Day1_FCM_closed_caption,0.3388429752066115,15.0,10.0,23.0,57.0,0.6,1.0,1.1,52.0,82.0,8.0,48.0
gemini-2.0-flash,P1_Day1_FCM_closed_caption,0.1350397175639894,6.0,3.0,12.0,86.0,0.6,1.0,1.1,51.0,95.0,7.0,21.0
gemini-2.0-flash,P2_Day1_FCM_closed_caption,0.1608391608391608,3.0,5.0,7.0,53.0,0.6,1.0,1.1,42.0,61.0,7.0,15.0
gemini-2.0-flash,P3_Day1_FCM_closed_caption,0.1865357643758766,5.0,3.0,10.0,48.0,0.6,1.0,1.1,45.0,56.0,8.0,18.0
gemini-2.0-flash,P4_Day1_FCM_closed_caption,0.1367521367521367,8.0,0.0,16.0,85.0,0.6,1.0,1.1,55.0,93.0,19.0,24.0
gemini-2.0-flash,P5_Day1_FCM_closed_caption,0.1586073500967117,6.0,4.0,15.0,72.0,0.6,1.0,1.1,52.0,82.0,13.0,25.0
gpt-4.1,P1_Day1_FCM_closed_caption,0.2925571112748711,16.0,7.0,24.0,72.0,0.6,1.0,1.1,51.0,95.0,25.0,47.0
gpt-4.1,P2_Day1_FCM_closed_caption,0.3005464480874317,11.0,5.0,19.0,45.0,0.6,1.0,1.1,42.0,61.0,7.0,35.0
gpt-4.1,P3_Day1_FCM_closed_caption,0.3393393393393393,12.0,9.0,31.0,35.0,0.6,1.0,1.1,45.0,56.0,39.0,52.0
gpt-4.1,P4_Day1_FCM_closed_caption,0.3537787513691128,29.0,6.0,60.0,58.0,0.6,1.0,1.1,55.0,93.0,61.0,95.0
gpt-4.1,P5_Day1_FCM_closed_caption,0.3291642978965321,24.0,9.0,69.0,49.0,0.6,1.0,1.1,52.0,82.0,54.0,102.0
gpt-4.1-mini,P1_Day1_FCM_closed_caption,0.2617830777967064,17.0,11.0,63.0,67.0,0.6,1.0,1.1,51.0,95.0,69.0,91.0
gpt-4.1-mini,P2_Day1_FCM_closed_caption,0.3805309734513274,16.0,10.0,35.0,35.0,0.6,1.0,1.1,42.0,61.0,21.0,61.0
gpt-4.1-mini,P3_Day1_FCM_closed_caption,0.3744414655942806,16.0,9.0,39.0,31.0,0.6,1.0,1.1,45.0,56.0,44.0,64.0
gpt-4.1-mini,P4_Day1_FCM_closed_caption,0.2941176470588235,21.0,5.0,47.0,67.0,0.6,1.0,1.1,55.0,93.0,59.0,73.0
gpt-4.1-mini,P5_Day1_FCM_closed_caption,0.3267651888341544,26.0,7.0,74.0,49.0,0.6,1.0,1.1,52.0,82.0,63.0,107.0
gpt-4o,P1_Day1_FCM_closed_caption,0.2015810276679842,10.0,5.0,21.0,80.0,0.6,1.0,1.1,51.0,95.0,11.0,36.0
gpt-4o,P2_Day1_FCM_closed_caption,0.4826048171275647,21.0,11.0,29.0,29.0,0.6,1.0,1.1,42.0,61.0,26.0,61.0
gpt-4o,P3_Day1_FCM_closed_caption,0.2606060606060606,8.0,5.0,18.0,43.0,0.6,1.0,1.1,45.0,56.0,12.0,31.0
gpt-4o,P4_Day1_FCM_closed_caption,0.3424036281179138,21.0,3.0,18.0,69.0,0.6,1.0,1.1,55.0,93.0,7.0,42.0
gpt-4o,P5_Day1_FCM_closed_caption,0.1431451612903225,6.0,2.0,11.0,74.0,0.6,1.0,1.1,52.0,82.0,5.0,19.0
gpt-5,P1_Day1_FCM_closed_caption,0.3590504451038576,22.0,15.0,50.0,58.0,0.6,1.0,1.1,51.0,95.0,41.0,87.0
gpt-5,P2_Day1_FCM_closed_caption,0.3893129770992366,16.0,8.0,27.0,37.0,0.6,1.0,1.1,42.0,61.0,16.0,51.0
gpt-5,P3_Day1_FCM_closed_caption,0.0327868852459016,1.0,0.0,4.0,55.0,0.6,1.0,1.1,45.0,56.0,3.0,5.0
gpt-5,P4_Day1_FCM_closed_caption,0.3571428571428571,22.0,10.0,38.0,61.0,0.6,1.0,1.1,55.0,93.0,36.0,70.0
gpt-5,P5_Day1_FCM_closed_caption,0.2692020879940343,12.0,11.0,39.0,59.0,0.6,1.0,1.1,52.0,82.0,32.0,62.0
