104,Ability of Emergency Sector,Ability of Supplemental Sector,Chain Restaurants,Community Empowerment,Convenience Stores,Education,Farmers Markets,Grocery Stores,Local Restaurants,Nutritious Foods,Poverty,Use of Emergency Sector,Use of Retail,Use of Supplemental Sector
Ability of Emergency Sector,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Ability of Supplemental Sector,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Chain Restaurants,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Community Empowerment,0,0,0,0,0,0,0,0,1,1,0,0,0,0
Convenience Stores,0,0,0,0,0,0,0,0,0,-1,0,0,0,0
Education,0,0,0,1,0,0,0,0,1,1,0,0,0,0
Farmers Markets,0,0,0,1,0,0,0,0,0,1,0,0,0,0
Grocery Stores,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Local Restaurants,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nutritious Foods,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Poverty,0,0,0,-1,0,0,0,0,0,0,0,1,0,1
Use of Emergency Sector,0,0,0,1,0,0,0,0,0,1,0,0,0,0
Use of Retail,0,0,1,0,1,0,1,1,1,0,0,0,0,0
Use of Supplemental Sector,0,0,0,0,1,0,1,1,0,0,0,0,0,0
