122,Ability of Emergency Sector,Ability of Supplemental Sector,Access to Transportation,Affordability,Availability,Building Community,Chain Restaurants,Community Empowerment,Convenience,Convenience Stores,Education,Farmers Markets,Geographic Disparities/Differences,Grocery Stores,Local Restaurants,Nutritious Foods,Quality of Life is Respected,Social Influences/Media,Use of Emergency Sector,Use of Retail,Use of Supplemental Sector
Ability of Emergency Sector,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
Ability of Supplemental Sector,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
Access to Transportation,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Affordability,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Availability,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Building Community,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chain Restaurants,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0
Community Empowerment,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Convenience,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Convenience Stores,0,0,0,-1,-1,0,0,0,1,0,0,0,0,0,0,-1,0,0,0,0,0
Education,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1
Farmers Markets,0,0,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Geographic Disparities/Differences,0,0,0,0,0,0,1,0,0,1,0,-1,0,-1,-1,0,0,0,0,0,0
Grocery Stores,1,0,0,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Local Restaurants,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0
Nutritious Foods,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Quality of Life is Respected,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Social Influences/Media,0,0,0,0,0,0,1,0,0,1,0,1,0,1,1,0,0,0,0,0,0
Use of Emergency Sector,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Use of Retail,0,0,0,0,0,0,1,0,0,1,0,1,0,1,1,0,0,0,0,0,0
Use of Supplemental Sector,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0
