143,Ability of Emergency Sector,Ability of Supplemental Sector,Access to Transportation,Affordability,Availability,Chain Restaurants,Commercial/Community Kitchens,Community Empowerment,Community Support Networks + Social Connections,Conflict & Competition for Funding + Resources,Convenience Stores,Cooperative Production,Crime,Demand for Commercial/Community Kitchen Resources,Desperation + Feeling Powerless // Normalization of Current Conditions,Education,Excess of Food,Farmers Markets,Financial Viability of Farming,Flint Fresh + Food Hub,Flint Water Crisis,Food Waste,Funding + Grants,Gardening + Local Agriculture,Grocery Stores,Housing,Income,Lack of Demand for Fresh Food,Lack of Funding for Public Projects,Limited Service Areas of Delivery Programs,Local Food Economy,Local Restaurants,Non-Local Vendors + Resellers,Nutritious Foods,Partnerships,Peer/Community Knowledge Sharing,Public Infrastructure,Quality of Life is Respected,Refrigeration,"Sense of Community, Cohesion, Stability, Safety",Small Grocery Stores,Use of Emergency Sector,Use of Retail,Use of Supplemental Sector,Youth Food Access,Youth Well-Being
Ability of Emergency Sector,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Ability of Supplemental Sector,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Access to Transportation,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0
Affordability,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Availability,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chain Restaurants,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Commercial/Community Kitchens,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Community Empowerment,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Community Support Networks + Social Connections,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Conflict & Competition for Funding + Resources,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0
