,Bulk Market Buying,Community Access Barriers,Food Access & Pricing,Food Quality,Fresh Produce,Health & Budget Education,Local Food Markets,Nutrition Programs,Nutritious Foods,Retail Food Outlets
Bulk Market Buying,0.0,0.6,0.6,0.6,0.0,1.0,0.8,0.0,0.0,0.6666666666666666
Community Access Barriers,0.5,0.0,0.8,0.5,0.8,0.0,0.0,0.4,0.8,0.0
Food Access & Pricing,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Food Quality,0.6666666666666666,0.8,0.0,0.0,0.8,1.0,0.0,0.0,0.8,0.6
Fresh Produce,0.0,0.8,1.0,0.75,0.0,0.5,1.0,0.0,0.0,0.0
Health & Budget Education,0.0,0.5,0.0,0.0,0.0,0.0,1.0,0.6,0.0,1.0
Local Food Markets,1.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666
Nutrition Programs,0.0,0.0,0.0,0.0,0.0,0.5,0.6,0.0,0.0,0.6
Nutritious Foods,0.0,0.0,0.5,0.8,0.0,0.3333333333333333,0.8,0.6,0.0,1.0
Retail Food Outlets,0.8,0.0,0.0,0.0,0.8,0.6,0.0,0.6,0.0,0.0
