model,dataset,F1,TP,PP,FP,FN,threshold,tp_scale,pp_scale,gt_nodes,gt_edges,gen_nodes,gen_edges
gemini-1.5-flash,100,0.4665461121157324,17.0,16.0,35.0,24.0,0.6,1.0,1.1,36.0,57.0,28.0,68.0
gemini-1.5-flash,101,0.2729306487695749,10.0,4.0,55.0,10.0,0.6,1.0,1.1,14.0,24.0,25.0,69.0
gemini-1.5-flash,102,0.3791574279379157,16.0,2.0,38.0,18.0,0.6,1.0,1.1,15.0,36.0,15.0,56.0
gemini-1.5-flash,103,0.3922651933701657,12.0,4.0,32.0,12.0,0.6,1.0,1.1,13.0,28.0,8.0,48.0
gemini-1.5-flash,104,0.40337224383917,15.0,1.0,38.0,8.0,0.6,1.0,1.1,14.0,24.0,16.0,54.0
gemini-1.5-flash,105,0.2804428044280442,13.0,4.0,66.0,12.0,0.6,1.0,1.1,14.0,29.0,40.0,83.0
gemini-1.5-flash,107,0.5229127432517262,29.0,23.0,31.0,45.0,0.6,1.0,1.1,45.0,97.0,33.0,83.0
gemini-1.5-flash,108,0.2748538011695906,9.0,5.0,48.0,14.0,0.6,1.0,1.1,20.0,28.0,23.0,62.0
gemini-1.5-flash,109,0.3519441674975074,16.0,3.0,38.0,27.0,0.6,1.0,1.1,21.0,46.0,22.0,57.0
gemini-1.5-flash,110,0.3585337915234822,14.0,3.0,36.0,20.0,0.6,1.0,1.1,17.0,37.0,18.0,53.0
gemini-1.5-flash,111,0.3418467583497053,13.0,8.0,52.0,15.0,0.6,1.0,1.1,25.0,36.0,29.0,73.0
gemini-1.5-flash,112,0.2701664532650448,10.0,1.0,45.0,12.0,0.6,1.0,1.1,21.0,23.0,22.0,56.0
gemini-1.5-flash,113,0.3205741626794258,14.0,5.0,59.0,12.0,0.6,1.0,1.1,18.0,31.0,39.0,78.0
gemini-1.5-flash,114,0.3846153846153846,16.0,5.0,36.0,24.0,0.6,1.0,1.1,29.0,45.0,27.0,57.0
gemini-1.5-flash,115,0.3280632411067193,18.0,5.0,57.0,28.0,0.6,1.0,1.1,22.0,51.0,34.0,80.0
gemini-1.5-flash,117,0.3614595210946408,12.0,7.0,40.0,16.0,0.6,1.0,1.1,23.0,35.0,20.0,59.0
gemini-1.5-flash,118,0.334836527621195,11.0,7.0,40.0,19.0,0.6,1.0,1.1,21.0,37.0,18.0,58.0
gemini-1.5-flash,119,0.3271461716937355,13.0,2.0,37.0,21.0,0.6,1.0,1.1,22.0,36.0,11.0,52.0
gemini-1.5-flash,120,0.3257514216084484,14.0,11.0,48.0,35.0,0.6,1.0,1.1,28.0,60.0,37.0,73.0
gemini-1.5-flash,122,0.3864468864468864,20.0,2.0,48.0,19.0,0.6,1.0,1.1,21.0,41.0,21.0,70.0
gemini-1.5-flash,123,0.404040404040404,20.0,0.0,40.0,19.0,0.6,1.0,1.1,22.0,39.0,24.0,60.0
gemini-1.5-flash,124,0.3354430379746835,21.0,10.0,63.0,42.0,0.6,1.0,1.1,32.0,73.0,48.0,94.0
gemini-1.5-flash,125,0.3707093821510297,14.0,4.0,34.0,21.0,0.6,1.0,1.1,23.0,39.0,17.0,52.0
gemini-1.5-flash,126,0.2861820563195809,18.0,7.0,77.0,32.0,0.6,1.0,1.1,28.0,57.0,49.0,102.0
gemini-1.5-flash,127,0.3875765529308836,15.0,13.0,42.0,28.0,0.6,1.0,1.1,28.0,56.0,24.0,70.0
gemini-1.5-flash,128,0.3337819650067295,16.0,16.0,52.0,47.0,0.6,1.0,1.1,40.0,79.0,41.0,84.0
gemini-1.5-flash,129,0.2775229357798165,11.0,2.0,44.0,19.0,0.6,1.0,1.1,24.0,32.0,15.0,57.0
gemini-1.5-flash,130,0.37984496124031,22.0,9.0,46.0,42.0,0.6,1.0,1.1,35.0,73.0,33.0,77.0
gemini-1.5-flash,131,0.3765381460213289,18.0,9.0,48.0,28.0,0.6,1.0,1.1,27.0,55.0,32.0,75.0
gemini-1.5-flash,132,0.3742017879948914,26.0,6.0,64.0,34.0,0.6,1.0,1.1,32.0,66.0,52.0,96.0
gemini-1.5-flash,133,0.384765625,12.0,14.0,28.0,35.0,0.6,1.0,1.1,32.0,61.0,20.0,54.0
gemini-1.5-flash,134,0.3057851239669421,13.0,10.0,61.0,23.0,0.6,1.0,1.1,24.0,46.0,30.0,84.0
gemini-1.5-flash,135,0.3333333333333333,19.0,5.0,59.0,28.0,0.6,1.0,1.1,35.0,52.0,38.0,83.0
gemini-1.5-flash,138,0.3520309477756286,16.0,4.0,44.0,23.0,0.6,1.0,1.1,32.0,43.0,33.0,64.0
gemini-1.5-flash,139,0.2634207240948814,10.0,1.0,46.0,13.0,0.6,1.0,1.1,19.0,24.0,17.0,57.0
gemini-1.5-flash,140,0.4268605645851154,20.0,9.0,37.0,30.0,0.6,1.0,1.1,32.0,59.0,31.0,66.0
gemini-1.5-flash,141,0.4071428571428571,23.0,10.0,47.0,36.0,0.6,1.0,1.1,41.0,69.0,44.0,80.0
gemini-1.5-flash,143,0.4287330316742081,28.0,18.0,52.0,49.0,0.6,1.0,1.1,46.0,95.0,50.0,98.0
gemini-1.5-flash,144,0.4444444444444445,25.0,12.0,33.0,46.0,0.6,1.0,1.1,47.0,83.0,28.0,70.0
gemini-1.5-flash,145,0.375438596491228,24.0,5.0,54.0,35.0,0.6,1.0,1.1,37.0,64.0,38.0,83.0
gemini-1.5-flash,146,0.4849498327759197,28.0,15.0,41.0,36.0,0.6,1.0,1.1,42.0,79.0,45.0,84.0
gemini-1.5-flash,147,0.3191489361702128,16.0,5.0,45.0,35.0,0.6,1.0,1.1,40.0,56.0,32.0,66.0
gemini-1.5-flash,148,0.4566623544631306,16.0,3.0,30.0,12.0,0.6,1.0,1.1,20.0,31.0,9.0,49.0
gemini-1.5-flash,149,0.3486842105263157,21.0,10.0,42.0,57.0,0.6,1.0,1.1,42.0,88.0,27.0,73.0
gemini-1.5-flash,150,0.4005212858384014,17.0,11.0,45.0,24.0,0.6,1.0,1.1,35.0,52.0,27.0,73.0
gemini-1.5-flash,151,0.3957258658806191,23.0,7.0,48.0,34.0,0.6,1.0,1.1,38.0,64.0,29.0,78.0
gemini-1.5-flash,152,0.407942238267148,20.0,15.0,50.0,32.0,0.6,1.0,1.1,33.0,67.0,36.0,85.0
gemini-1.5-flash,153,0.4046511627906977,19.0,5.0,40.0,24.0,0.6,1.0,1.1,27.0,48.0,25.0,64.0
gemini-2.0-flash,100,0.4215530903328051,20.0,12.0,48.0,25.0,0.6,1.0,1.1,36.0,57.0,69.0,80.0
gemini-2.0-flash,101,0.2848484848484848,9.0,5.0,49.0,10.0,0.6,1.0,1.1,14.0,24.0,63.0,63.0
gemini-2.0-flash,102,0.3074792243767313,15.0,3.0,57.0,18.0,0.6,1.0,1.1,15.0,36.0,50.0,75.0
gemini-2.0-flash,103,0.2782426778242678,10.0,6.0,57.0,12.0,0.6,1.0,1.1,13.0,28.0,40.0,73.0
gemini-2.0-flash,104,0.3514915693904021,13.0,1.0,40.0,10.0,0.6,1.0,1.1,14.0,24.0,31.0,54.0
gemini-2.0-flash,107,0.4833524684270953,30.0,22.0,45.0,45.0,0.6,1.0,1.1,45.0,97.0,108.0,97.0
gemini-2.0-flash,108,0.1783073130649137,7.0,7.0,86.0,14.0,0.6,1.0,1.1,20.0,28.0,74.0,100.0
gemini-2.0-flash,109,0.3060498220640569,15.0,4.0,51.0,27.0,0.6,1.0,1.1,21.0,46.0,74.0,70.0
gemini-2.0-flash,110,0.2504118616144975,13.0,4.0,71.0,20.0,0.6,1.0,1.1,17.0,37.0,55.0,88.0
gemini-2.0-flash,111,0.298804780876494,16.0,5.0,73.0,15.0,0.6,1.0,1.1,25.0,36.0,63.0,94.0
gemini-2.0-flash,112,0.1541850220264317,6.0,5.0,84.0,12.0,0.6,1.0,1.1,21.0,23.0,78.0,95.0
gemini-2.0-flash,113,0.2272126816380449,15.0,4.0,105.0,12.0,0.6,1.0,1.1,18.0,31.0,120.0,124.0
gemini-2.0-flash,115,0.2938931297709924,22.0,2.0,84.0,27.0,0.6,1.0,1.1,22.0,51.0,82.0,108.0
gemini-2.0-flash,117,0.1873740765614506,9.0,9.0,104.0,17.0,0.6,1.0,1.1,23.0,35.0,107.0,122.0
gemini-2.0-flash,118,0.2352092352092352,13.0,6.0,88.0,18.0,0.6,1.0,1.1,21.0,37.0,70.0,107.0
gemini-2.0-flash,119,0.1920857378400659,10.0,3.0,75.0,23.0,0.6,1.0,1.1,22.0,36.0,53.0,88.0
gemini-2.0-flash,120,0.2834086507424144,17.0,9.0,77.0,34.0,0.6,1.0,1.1,28.0,60.0,98.0,103.0
gemini-2.0-flash,121,0.2255892255892256,14.0,5.0,93.0,22.0,0.6,1.0,1.1,27.0,41.0,69.0,112.0
gemini-2.0-flash,122,0.338358458961474,18.0,4.0,60.0,19.0,0.6,1.0,1.1,21.0,41.0,64.0,82.0
gemini-2.0-flash,123,0.2965627498001599,18.0,1.0,68.0,20.0,0.6,1.0,1.1,22.0,39.0,61.0,87.0
gemini-2.0-flash,124,0.2760416666666667,21.0,10.0,97.0,42.0,0.6,1.0,1.1,32.0,73.0,129.0,128.0
gemini-2.0-flash,125,0.2559280457890433,14.0,3.0,69.0,22.0,0.6,1.0,1.1,23.0,39.0,41.0,86.0
gemini-2.0-flash,126,0.2659883720930233,15.0,6.0,65.0,36.0,0.6,1.0,1.1,28.0,57.0,87.0,86.0
gemini-2.0-flash,127,0.3363695510735199,22.0,7.0,75.0,27.0,0.6,1.0,1.1,28.0,56.0,81.0,104.0
gemini-2.0-flash,129,0.2067124332570557,13.0,1.0,86.0,18.0,0.6,1.0,1.1,24.0,32.0,52.0,100.0
gemini-2.0-flash,130,0.2759961127308066,24.0,8.0,108.0,41.0,0.6,1.0,1.1,35.0,73.0,113.0,140.0
gemini-2.0-flash,131,0.3267326732673267,22.0,5.0,74.0,28.0,0.6,1.0,1.1,27.0,55.0,74.0,101.0
gemini-2.0-flash,132,0.2983395822174612,24.0,7.0,96.0,35.0,0.6,1.0,1.1,32.0,66.0,105.0,127.0
gemini-2.0-flash,133,0.2493946731234867,14.0,12.0,89.0,35.0,0.6,1.0,1.1,32.0,61.0,74.0,115.0
gemini-2.0-flash,134,0.2625169147496616,15.0,8.0,86.0,23.0,0.6,1.0,1.1,24.0,46.0,86.0,109.0
gemini-2.0-flash,135,0.2550655542312276,17.0,8.0,98.0,27.0,0.6,1.0,1.1,35.0,52.0,95.0,123.0
gemini-2.0-flash,136,0.2923076923076923,23.0,10.0,91.0,47.0,0.6,1.0,1.1,44.0,80.0,111.0,124.0
gemini-2.0-flash,137,0.3189715079916608,18.0,9.0,75.0,23.0,0.6,1.0,1.1,31.0,50.0,79.0,102.0
gemini-2.0-flash,138,0.2161520190023752,16.0,4.0,109.0,23.0,0.6,1.0,1.1,32.0,43.0,84.0,129.0
gemini-2.0-flash,139,0.1420534458509142,9.0,2.0,109.0,13.0,0.6,1.0,1.1,19.0,24.0,74.0,120.0
gemini-2.0-flash,140,0.3532684283727398,21.0,8.0,63.0,30.0,0.6,1.0,1.1,32.0,59.0,86.0,92.0
gemini-2.0-flash,141,0.3187865886109632,25.0,9.0,93.0,35.0,0.6,1.0,1.1,41.0,69.0,113.0,127.0
gemini-2.0-flash,143,0.3618960802187785,32.0,14.0,91.0,49.0,0.6,1.0,1.1,46.0,95.0,113.0,137.0
gemini-2.0-flash,144,0.2938931297709923,22.0,16.0,103.0,45.0,0.6,1.0,1.1,47.0,83.0,108.0,141.0
gemini-2.0-flash,146,0.4313967861557478,25.0,18.0,56.0,36.0,0.6,1.0,1.1,42.0,79.0,76.0,99.0
gemini-2.0-flash,147,0.2093885114268066,12.0,9.0,93.0,35.0,0.6,1.0,1.1,40.0,56.0,78.0,114.0
gemini-2.0-flash,148,0.2598187311178248,15.0,4.0,86.0,12.0,0.6,1.0,1.1,20.0,31.0,48.0,105.0
gemini-2.0-flash,149,0.2984293193717277,23.0,10.0,79.0,55.0,0.6,1.0,1.1,42.0,88.0,86.0,112.0
gemini-2.0-flash,150,0.3126385809312638,14.0,13.0,68.0,25.0,0.6,1.0,1.1,35.0,52.0,61.0,95.0
gemini-2.0-flash,151,0.3618677042801556,15.0,15.0,48.0,34.0,0.6,1.0,1.1,38.0,64.0,82.0,78.0
gemini-2.0-flash,153,0.3663911845730027,15.0,9.0,45.0,24.0,0.6,1.0,1.1,27.0,48.0,32.0,69.0
gpt-4.1,100,0.248991935483871,17.0,14.0,123.0,26.0,0.6,1.0,1.1,36.0,57.0,141.0,154.0
gpt-4.1,101,0.100177304964539,8.0,6.0,193.0,10.0,0.6,1.0,1.1,14.0,24.0,270.0,207.0
gpt-4.1,102,0.2260692464358451,15.0,3.0,96.0,18.0,0.6,1.0,1.1,15.0,36.0,106.0,114.0
gpt-4.1,103,0.230164964650432,13.0,3.0,86.0,12.0,0.6,1.0,1.1,13.0,28.0,68.0,102.0
gpt-4.1,104,0.2706333973128598,13.0,2.0,67.0,9.0,0.6,1.0,1.1,14.0,24.0,55.0,82.0
gpt-4.1,105,0.1540948275862069,11.0,6.0,145.0,12.0,0.6,1.0,1.1,14.0,29.0,188.0,162.0
