dataset,best_model,best_F1
100,gemini-1.5-flash,0.4665461121157324
101,gemini-2.0-flash,0.2848484848484848
102,gemini-1.5-flash,0.3791574279379157
103,gemini-1.5-flash,0.3922651933701657
104,gemini-1.5-flash,0.40337224383917
105,gemini-1.5-flash,0.2804428044280442
107,gemini-1.5-flash,0.5229127432517262
108,gemini-1.5-flash,0.2748538011695906
109,gemini-1.5-flash,0.3519441674975074
110,gemini-1.5-flash,0.3585337915234822
111,gemini-1.5-flash,0.3418467583497053
112,gemini-1.5-flash,0.2701664532650448
113,gemini-1.5-flash,0.3205741626794258
114,gemini-1.5-flash,0.3846153846153846
115,gemini-1.5-flash,0.3280632411067193
117,gemini-1.5-flash,0.3614595210946408
118,gemini-1.5-flash,0.334836527621195
119,gemini-1.5-flash,0.3271461716937355
120,gemini-1.5-flash,0.3257514216084484
121,gemini-2.0-flash,0.2255892255892256
122,gemini-1.5-flash,0.3864468864468864
123,gemini-1.5-flash,0.404040404040404
124,gemini-1.5-flash,0.3354430379746835
125,gemini-1.5-flash,0.3707093821510297
126,gemini-1.5-flash,0.2861820563195809
127,gemini-1.5-flash,0.3875765529308836
128,gemini-1.5-flash,0.3337819650067295
129,gemini-1.5-flash,0.2775229357798165
130,gemini-1.5-flash,0.37984496124031
131,gemini-1.5-flash,0.3765381460213289
132,gemini-1.5-flash,0.3742017879948914
133,gemini-1.5-flash,0.384765625
134,gemini-1.5-flash,0.3057851239669421
135,gemini-1.5-flash,0.3333333333333333
136,gemini-2.0-flash,0.2923076923076923
137,gemini-2.0-flash,0.3189715079916608
138,gemini-1.5-flash,0.3520309477756286
139,gemini-1.5-flash,0.2634207240948814
140,gemini-1.5-flash,0.4268605645851154
141,gemini-1.5-flash,0.4071428571428571
143,gemini-1.5-flash,0.4287330316742081
144,gemini-1.5-flash,0.4444444444444445
145,gemini-1.5-flash,0.375438596491228
146,gemini-1.5-flash,0.4849498327759197
147,gemini-1.5-flash,0.3191489361702128
148,gemini-1.5-flash,0.4566623544631306
149,gemini-1.5-flash,0.3486842105263157
150,gemini-1.5-flash,0.4005212858384014
151,gemini-1.5-flash,0.3957258658806191
152,gemini-1.5-flash,0.407942238267148
153,gemini-1.5-flash,0.4046511627906977
