target,marine mammals,HMS/tuna,red snapper/reef fish,OSW Construction,OSW Operation,Researcher/Acoustics and HMS,cabling,emf,noise,suitable habitat/aggregation,physicals structure in water column,Existing ONG Infrastructure,layout/pattern of OSW,debris,type of platform,oil spills,,,vessel traffic,fishable areas,commercial fishing,rec fishing,storms/hurricanes/sustainability,migratory pathways,exclusion/protected areas around OSW,MSP - location relative to natural features,fishing mgmt adjustments - pressure and size
marine mammals,0,0,0,0,0,0,0,0,Neutral,0,0,0,0,Neutral,0,0,0,0,0,0,0,0,0,0,0,0,0
HMS/tuna,0,0,0,0,0,0,0,Neutral,Neutral,Neutral,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
red snapper/reef fish,0,0,0,0,0,0,0,0,0,Neutral,0,0,0,0,0,0,0,0,0,0,0,0,0,Neutral,0,0,0
OSW Construction,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OSW Operation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Researcher/Acoustics and HMS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cabling,0,0,0,Neutral,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
emf,0,0,0,0,0,0,Neutral,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
noise,0,0,0,0,Neutral,0,Neutral,0,0,0,0,0,0,0,0,0,0,0,Neutral,0,0,0,0,0,0,0,0
suitable habitat/aggregation,0,0,0,0,0,0,Neutral,0,0,0,Neutral,0,Neutral,0,0,0,0,0,0,0,0,0,0,0,0,0,0
physicals structure in water column,0,0,0,Neutral,Neutral,0,0,0,0,0,0,Neutral,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Existing ONG Infrastructure,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
layout/pattern of OSW,0,0,0,Neutral,Neutral,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
debris,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Neutral,0,0,Neutral,0,0,0,Neutral,0,0,0,0
type of platform,0,0,0,Neutral,Neutral,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
oil spills,0,0,0,0,0,0,0,0,0,0,0,Neutral,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
vessel traffic,0,0,0,Neutral,Neutral,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fishable areas,0,0,0,0,0,0,Neutral,0,0,0,Neutral,0,Neutral,0,Neutral,0,0,0,0,0,0,0,0,0,0,0,0
commercial fishing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Neutral,0,0,0,Neutral,0,0,0
rec fishing,0,0,0,0,0,0,0,0,0,Neutral,0,0,0,0,0,0,0,0,0,Neutral,0,0,0,Neutral,0,0,0
storms/hurricanes/sustainability,0,0,0,0,Neutral,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
migratory pathways,0,0,0,0,0,0,0,0,0,0,Neutral,0,Neutral,0,0,0,0,0,0,0,0,0,0,0,0,0,0
exclusion/protected areas around OSW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSP - location relative to natural features,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fishing mgmt adjustments - pressure and size,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
