target,OSW Operation,OSW Construction,Marine Mammals/Biological Oceanography/Energy Policy,baleen whale wellbeing,killer whales,dolphins,,,pile driving,spills/contaminants/leaks,"multiple stressors""""",Other industrial activities,low frequency noise,size of wind farm,type of structures,physical location of structures,"cumulative effects""""",suitable habitat/feeding and abundance of prey,strikes/collisions,vessel traffic,loop current,primary productivity,wind/water flux,other species,increased need for science/studies,baselines/long term monitoring - soundscapes,EMF,knowledge gaps,mammal/ps surveys funded by BOEM and developers,eDNA,,countering misinformation,communication of data
OSW Operation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Neutral,0,0,0,0,0,0,0,0,0,0
OSW Construction,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Neutral,0,0,0,0,0,0,0,0,0,0
Marine Mammals/Biological Oceanography/Energy Policy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
baleen whale wellbeing,0,0,0,0,0,0,0,0,0,0,0,0,Neutral,0,0,0,Neutral,Neutral,Neutral,0,0,Neutral,0,0,Neutral,0,Neutral,0,0,0,0,0,0
killer whales,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Neutral,Neutral,Neutral,0,0,Neutral,0,0,Neutral,0,Neutral,0,0,0,0,0,0
dolphins,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Neutral,Neutral,Neutral,0,0,Neutral,0,0,Neutral,0,Neutral,0,0,0,0,0,0
pile driving,0,Neutral,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
spills/contaminants/leaks,0,0,0,0,0,0,0,0,0,0,0,Neutral,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"multiple stressors""""",Neutral,Neutral,0,0,0,0,0,0,0,0,0,Neutral,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Other industrial activities,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
low frequency noise,0,0,0,0,0,0,0,0,Neutral,0,0,0,0,0,0,0,0,0,0,Neutral,0,0,0,0,0,Neutral,0,0,0,0,0,0,0
size of wind farm,Neutral,Neutral,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
type of structures,Neutral,Neutral,0,0,0,0,0,0,0,0,0,Neutral,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
physical location of structures,Neutral,Neutral,0,0,0,0,0,0,0,0,0,Neutral,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"cumulative effects""""",0,0,0,0,0,0,0,0,0,0,Neutral,0,0,0,0,0,0,0,0,0,Neutral,0,Neutral,0,0,0,0,0,0,0,0,0,0
suitable habitat/feeding and abundance of prey,0,0,0,0,0,0,0,0,0,0,Neutral,0,0,Neutral,Neutral,Neutral,0,0,0,0,0,Neutral,0,0,0,0,0,0,0,0,0,0,0
strikes/collisions,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Neutral,0,Neutral,0,0,0,0,0,0,0,0,0,0,0,0,0
vessel traffic,Neutral,Neutral,0,0,0,0,0,0,0,0,0,Neutral,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
loop current,Neutral,Neutral,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
primary productivity,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Neutral,0,Neutral,0,0,0,0,0,0,0,0,0,0
wind/water flux,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
other species,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Neutral,Neutral,Neutral,0,0,Neutral,0,0,Neutral,0,Neutral,0,0,0,0,0,0
increased need for science/studies,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Neutral,0,0,0,0,0
baselines/long term monitoring - soundscapes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EMF,0,0,0,0,0,0,0,0,0,0,Neutral,0,0,0,Neutral,Neutral,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
knowledge gaps,0,Neutral,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mammal/ps surveys funded by BOEM and developers,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
eDNA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
countering misinformation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
communication of data,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
