,aquaculture,artificial reefs,capitalism,compensation,cost savings,energy industry,environmental impact,fish aggregation,fishing,fishing industry,interest groups,offshore wind,oil/gas industry,property values,scale effects,technology,tourism,trade policy,wind power
aquaculture,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial reefs,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
capitalism,0.0,0.0,0.0,0.0,1.0,1.0,-1.0,0.0,-0.25,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0
compensation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2
cost savings,0.0,0.0,0.0,0.0,0.0,0.0,-0.6,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
energy industry,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
environmental impact,-1.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.6,0.0,-1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-0.6
fish aggregation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0
fishing,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fishing industry,0.0,0.0,0.0,1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-0.6,0.0,0.0,0.0,1.0,0.0,0.0
interest groups,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.8,0.0,-0.5,0.0,0.0,0.0,0.0
offshore wind,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
oil/gas industry,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,-0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.8
property values,0.0,0.0,0.0,0.0,0.6666666666666666,0.3333333333333333,0.0,0.0,0.3333333333333333,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
scale effects,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.6,0.0,0.0,0.0,0.0,0.0,0.5
technology,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
tourism,0.0,1.0,0.0,0.0,0.0,0.8,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
trade policy,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
wind power,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
